,time,hrv_rnssd
0,2024-10-01T03:35:00.000,55.03
1,2024-10-01T04:05:00.000,70.002
2,2024-10-01T04:45:00.000,69.853
3,2024-10-01T04:50:00.000,71.683
4,2024-10-01T04:55:00.000,59.457
5,2024-10-01T05:00:00.000,70.171
6,2024-10-01T05:05:00.000,70.471
7,2024-10-01T05:10:00.000,78.217
8,2024-10-01T05:15:00.000,78.874
9,2024-10-01T05:20:00.000,97.003
10,2024-10-01T05:25:00.000,116.157
11,2024-10-01T05:30:00.000,95.892
12,2024-10-01T05:35:00.000,108.935
13,2024-10-01T05:40:00.000,107.155
14,2024-10-01T05:45:00.000,113.127
15,2024-10-01T05:50:00.000,108.213
16,2024-10-01T05:55:00.000,104.198
17,2024-10-01T06:00:00.000,145.412
18,2024-10-01T06:05:00.000,128.032
19,2024-10-01T06:10:00.000,79.654
20,2024-10-01T06:20:00.000,106.28
21,2024-10-01T06:25:00.000,79.428
22,2024-10-01T06:30:00.000,127.0
23,2024-10-01T06:35:00.000,123.649
24,2024-10-01T06:40:00.000,149.403
25,2024-10-01T06:45:00.000,193.697
26,2024-10-01T06:50:00.000,190.601
27,2024-10-01T06:55:00.000,160.212
28,2024-10-01T07:00:00.000,137.954
29,2024-10-01T07:05:00.000,169.915
30,2024-10-01T07:10:00.000,127.079
31,2024-10-01T07:15:00.000,93.11
32,2024-10-01T07:20:00.000,128.902
33,2024-10-01T07:25:00.000,115.13
34,2024-10-01T07:30:00.000,125.028
35,2024-10-01T07:35:00.000,123.223
36,2024-10-01T07:40:00.000,145.825
37,2024-10-01T07:45:00.000,88.884
38,2024-10-01T08:05:00.000,83.113
39,2024-10-01T08:50:00.000,79.345
40,2024-10-01T08:55:00.000,87.368
41,2024-10-01T09:10:00.000,143.091
42,2024-10-01T09:15:00.000,160.611
43,2024-10-01T09:20:00.000,165.305
44,2024-10-01T09:25:00.000,138.124
45,2024-10-01T09:30:00.000,154.19
46,2024-10-01T09:35:00.000,89.666
47,2024-10-01T09:40:00.000,90.942
48,2024-10-01T09:45:00.000,76.062
49,2024-10-01T09:50:00.000,49.985
50,2024-10-01T09:55:00.000,67.946
51,2024-10-01T10:00:00.000,87.436
52,2024-10-01T10:05:00.000,103.863
